issue_id,severity,problem,correction,primary_files,validation,evidence
DS-001,CRITICAL,Shadow tokens emitted as JSON objects and elevation.medium duplicated,Deterministic token compiler serializes shadow values as valid CSS and rejects duplicate variables,"scripts/generate-tokens.mjs; packages/design-tokens/src/tokens.json; tokens.css; tokens.ts",tokens:check plus token unit tests,qa/consolidation/token-audit.json
DS-002,CRITICAL,Runtime UI literals bypassed Design Tokens,Added candidate Design Tokens 1.2.0 and migrated runtime styles to token references with documented breakpoint exceptions,"packages/design-tokens/src/tokens.json; packages/ui/src/styles/*; HeroBanner.tsx",audit:styles plus C-005/C-001 visual regression,qa/consolidation/style-audit.json
CMP-001,HIGH,AppShell exposed Home-specific state attribute,Replaced state/data-home-state with typed screenState/data-screen-state,"AppShell.tsx; HomeScreen.tsx; SplashScreen.tsx; styles",unit tests plus architecture audit plus regressions,qa/consolidation/architecture-audit.json
CMP-002,HIGH,AppHeader mixed brand and actions and Splash hid header internals,Extracted canonical BrandLockup and made AppHeader compose it; Splash consumes BrandLockup directly,"BrandLockup.tsx; AppHeader.tsx; SplashScreen.tsx",unit Storybook Axe and visual regression,screen-gate artifacts
CMP-003,HIGH,Interactive controls had no typed action contracts,Added typed controlled values callbacks disabled and loading behavior to all listed components,"SearchField; CategoryChip; BottomNavigation; SectionHeader; ProductCard; PackCard; DeliveryQuoteCard",component unit tests and functional event tests,coverage and screen-gate artifacts
CMP-004,HIGH,ErrorState and EmptyState duplicated feedback structure,Added canonical FeedbackState and converted ErrorState/EmptyState into thin adapters,"FeedbackState.tsx; ErrorState.tsx; EmptyState.tsx",unit Storybook and Axe,qa/consolidation/component-audit.json
CMP-005,HIGH,Home skeleton was registered as a universal LoadingState,Created HomeLoadingState and retained LoadingState only as a documented compatibility adapter,"HomeLoadingState.tsx; LoadingState.tsx; HomeScreen.tsx",unit and visual regression,screen-gate-C-005 artifact
STR-001,MEDIUM,Apps and Storybook imported package internals by filesystem path,Switched to public workspace package exports and updated exports/aliases,"apps/ui-lab/app/layout.tsx; .storybook/preview.ts; package manifests; tsconfig.json",Next build Storybook build and architecture audit,logs/build-next.log; logs/build-storybook.log
STR-002,MEDIUM,Monolithic stylesheet obscured ownership and impact,Split shared stylesheet into foundations shell discovery commerce navigation feedback lab and responsive modules,"packages/ui/src/styles.css; packages/ui/src/styles/*",CSS audit and exact visual regression,qa/consolidation/style-audit.json
CMP-006,MEDIUM,Icon primitive was absent from official registry,Registered Icon as an internal primitive with consumers and policy,manifests/primitives.json,component manifest audit,qa/consolidation/component-audit.json
AST-001,MEDIUM,Three duplicate SVG pairs existed,Consolidated to ten physical deterministic assets and six semantic aliases,"scripts/materialize-assets.mjs; packages/ui/src/lib/assets.ts; manifests/assets.json",asset audit with content hashes,qa/consolidation/asset-audit.json
GOV-001,HIGH,Screen manifests did not reflect human-approved frozen states,Added immutable certification records and synchronized screen manifests without modifying original frozen commits,"manifests/certifications.json; screens.json; C-001.json; C-005.json",manifest audit,qa/consolidation/manifest-audit.json
TST-001,MEDIUM,Gate infrastructure was duplicated per screen,Added reusable screen gate and one consolidation orchestrator,".github/workflows/reusable-screen-gate.yml; pre-gate2-consolidation.yml",GitHub Actions exact-SHA execution,workflow logs and artifact
TST-002,MEDIUM,Playwright generated missing baselines during Gate validation,Separated BASELINE_AUTHORING from GATE_VALIDATION; missing/different baseline fails,playwright.config.ts; baseline-authoring.yml,strict baseline regression,screen gate logs
TST-003,MEDIUM,Quantitative coverage was not recorded,Added Vitest V8 coverage with no invented threshold,"vitest.config.ts; package.json",test:coverage,coverage/coverage-summary.json
DOC-001,LOW,Architecture consolidation lacked a single execution report,Added consolidation report matrix asset inventory and conditional C-002 plan,docs/consolidation/*,documentation presence in artifact,pre-gate2 artifact
